Year,Tag,Number,Total
"2018","adwords-api-v201109","10","2229551"
"2018","adwords-apiv201402","21","2229551"
"2018","adwords-api-v201802","32","2229551"
"2018","adx","3","2229551"
"2018","adxstudio-portals","14","2229551"
"2018","adyen","13","2229551"
"2018","aec","8","2229551"
"2018","aegir","2","2229551"
"2018","aegis","1","2229551"
"2018","aem","480","2229551"
"2018","aem-6","43","2229551"
"2018","aem-touch-ui","13","2229551"
"2018","aero","3","2229551"
"2018","aerogear","4","2229551"
"2018","aero-glass","3","2229551"
"2018","aeroolib","2","2229551"
"2018","aerospike","107","2229551"
"2018","aerospike-loader","2","2229551"
"2018","aes","651","2229551"
"2018","aescryptoserviceprovider","3","2229551"
"2018","aes-gcm","52","2229551"
"2018","aes-ni","4","2229551"
"2018","aeson","50","2229551"
"2018","aesthetics","32","2229551"
"2018","aether","7","2229551"
"2018","affdex-sdk","14","2229551"
"2018","affiliate","35","2229551"
"2018","affiliates","2","2229551"
"2018","affinetransform","40","2229551"
"2018","affinity","28","2229551"
"2018","affix","15","2229551"
"2018","afhttprequestoperation","3","2229551"
"2018","afhttpsessionmanager","3","2229551"
"2018","afnetworking","95","2229551"
"2018","afnetworking-2","6","2229551"
"2018","afnetworking-3","26","2229551"
"2018","aforge","77","2229551"
"2018","afp","8","2229551"
"2018","aframe","724","2229551"
"2018","after-create","2","2229551"
"2018","after-effects","66","2229551"
"2018","after-save","7","2229551"
"2018","afx","2","2229551"
"2018","ag","12","2229551"
"2018","against","2","2229551"
"2018","agal","1","2229551"
"2018","agda","70","2229551"
"2018","agda-mode","1","2229551"
"2018","agenda","22","2229551"
"2018","agens-graph","36","2229551"
"2018","agent","115","2229551"
"2018","agent-based-modeling","61","2229551"
"2018","agents","16","2229551"
"2018","agentset","3","2229551"
"2018","agents-jade","35","2229551"
"2018","aggdraw","1","2229551"
"2018","aggregate","927","2229551"
"2018","aggregateexception","5","2229551"
"2018","aggregate-functions","383","2229551"
"2018","aggregate-initialization","13","2229551"
"2018","aggregateroot","48","2229551"
"2018","aggregates","11","2229551"
"2018","aggregation","368","2229551"
"2018","aggregation-framework","1652","2229551"
"2018","aggregator","11","2229551"
"2018","ag-grid","923","2229551"
"2018","ag-grid-angular","27","2229551"
"2018","ag-grid-ng2","123","2229551"
"2018","ag-grid-react","95","2229551"
"2018","agi","19","2229551"
"2018","agile","38","2229551"
"2018","agile-processes","4","2229551"
"2018","agile-project-management","8","2229551"
"2018","agiletoolkit","1","2229551"
"2018","aginity","15","2229551"
"2018","aglio","3","2229551"
"2018","agora.io","25","2229551"
"2018","agrep","11","2229551"
"2018","agsxmpp","1","2229551"
"2018","aho-corasick","6","2229551"
"2018","ahoy","15","2229551"
"2018","ahp","4","2229551"
"2018","aide","17","2229551"
"2018","aide-ide","14","2229551"
"2018","aidl","59","2229551"
"2018","aif","3","2229551"
"2018","aiff","2","2229551"
"2018","aikau","6","2229551"
"2018","aim","1","2229551"
"2018","aiml","47","2229551"
"2018","aio","15","2229551"
"2018","aiohttp","256","2229551"
"2018","air","112","2229551"
"2018","airbnb","31","2229551"
"2018","airbrake","13","2229551"
"2018","airconsole","6","2229551"
"2018","aircrack-ng","10","2229551"
"2018","airdrop","7","2229551"
"2018","airflow","1108","2229551"
"2018","airflow-scheduler","224","2229551"
"2018","air-native-extension","3","2229551"
"2018","airplane","10","2229551"
"2018","airplay","32","2229551"
"2018","airprint","17","2229551"
"2018","airpush","3","2229551"
"2018","airtable","34","2229551"
"2018","airwatch","32","2229551"
"2018","ais","6","2229551"
"2018","aix","159","2229551"
"2018","ajax","17533","2229551"
"2018","ajax.beginform","18","2229551"
"2018","ajax4jsf","6","2229551"
"2018","ajaxcontroltoolkit","76","2229551"
"2018","ajaxform","61","2229551"
"2018","ajax-forms","6","2229551"
"2018","ajaxify","3","2229551"
"2018","ajaxmin","3","2229551"
"2018","ajax-polling","6","2229551"
"2018","ajaxpro","1","2229551"
"2018","ajax-request","12","2229551"
"2018","ajaxsubmit","3","2229551"
"2018","ajax-update","6","2229551"
"2018","ajax-upload","5","2229551"
"2018","ajaxuploader","1","2229551"
"2018","ajdt","4","2229551"
"2018","ajp","20","2229551"
"2018","ajv","51","2229551"
"2018","akamai","33","2229551"
"2018","akavache","15","2229551"
"2018","akeneo","51","2229551"
"2018","akismet","3","2229551"
"2018","akka","855","2229551"
"2018","akka.net","108","2229551"
"2018","akka.net-cluster","10","2229551"
"2018","akka.net-persistence","13","2229551"
"2018","akka-actor","26","2229551"
"2018","akka-camel","4","2229551"
"2018","akka-cluster","71","2229551"
"2018","akka-fsm","9","2229551"
"2018","akka-http","296","2229551"
"2018","akka-io","1","2229551"
"2018","akka-kafka","8","2229551"
"2018","akka-monitoring","4","2229551"
"2018","akka-persistence","51","2229551"
"2018","akka-remote-actor","14","2229551"
"2018","akka-remoting","12","2229551"
"2018","akka-stream","345","2229551"
"2018","akka-supervision","5","2229551"
"2018","akka-testkit","18","2229551"
"2018","akka-typed","14","2229551"
"2018","akka-zeromq","2","2229551"
"2018","aksequencer","13","2229551"
"2018","alamofire","1091","2229551"
"2018","alamofireimage","38","2229551"
"2018","alarm","120","2229551"
"2018","alarmmanager","439","2229551"
"2018","alarms","7","2229551"
"2018","alasql","46","2229551"
"2018","alassetsgroup","1","2229551"
"2018","alassetslibrary","6","2229551"
"2018","albumart","18","2229551"
"2018","alcatel-ot","2","2229551"
"2018","alchemy","4","2229551"
"2018","alchemy.js","2","2229551"
"2018","alchemyapi","2","2229551"
"2018","alchemy-cms","11","2229551"
"2018","aleagpu","22","2229551"
"2018","alembic","82","2229551"
"2018","aleph","5","2229551"
"2018","alert","422","2229551"
"2018","alertdialog","317","2229551"
"2018","alertify","7","2229551"
"2018","alertifyjs","11","2229551"
"2018","alerts","36","2229551"
"2018","alertview","3","2229551"
"2018","alex","6","2229551"
"2018","alexa","928","2229551"
"2018","alexa-app","59","2229551"
"2018","alexa-sdk-nodejs","19","2229551"
"2018","alexa-skill","390","2229551"
"2018","alexa-skills-kit","689","2229551"
"2018","alexa-slot","95","2229551"
"2018","alexa-voice-service","120","2229551"
"2018","alfa","14","2229551"
"2018","alfred","12","2229551"
"2018","alfresco","270","2229551"
"2018","alfresco-enterprise","24","2229551"
"2018","alfresco-maven","9","2229551"
"2018","alfresco-share","78","2229551"
"2018","alfresco-webscripts","43","2229551"
"2018","algebra","83","2229551"
"2018","algebraic-data-types","41","2229551"
"2018","alglib","7","2229551"
"2018","algolia","307","2229551"
"2018","algorithm","8314","2229551"
"2018","algorithmic-trading","92","2229551"
"2018","alias","372","2229551"
"2018","aliases","17","2229551"
"2018","aliasing","16","2229551"
"2018","alibaba-cloud","100","2229551"
"2018","alibaba-cloud-ecs","36","2229551"
"2018","alice","2","2229551"
"2018","alice-fixtures","3","2229551"
"2018","aliexpress","6","2229551"
"2018","alignas","3","2229551"
"2018","alignment","555","2229551"
"2018","alipay","8","2229551"
"2018","allauth","24","2229551"
"2018","all-delete-orphan","2","2229551"
"2018","allegro","21","2229551"
"2018","allegro5","25","2229551"
"2018","allegro-cl","1","2229551"
"2018","allegrograph","6","2229551"
"2018","allen-sdk","5","2229551"
"2018","all-in-one-event-calendar","2","2229551"
"2018","alljoyn","2","2229551"
"2018","alloc","6","2229551"
"2018","alloca","7","2229551"
"2018","allocatable-array","8","2229551"
"2018","allocation","117","2229551"
"2018","allocator","55","2229551"
"2018","allow-same-origin","19","2229551"
"2018","alloy","66","2229551"
"2018","alloy-ui","17","2229551"
"2018","allure","189","2229551"
"2018","allusersprofile","2","2229551"
"2018","alluxio","17","2229551"
"2018","alm","73","2229551"
"2018","almond","2","2229551"
"2018","alpacajs","30","2229551"
"2018","alpakka","62","2229551"
"2018","alpha","117","2229551"
"2018","alphabet","22","2229551"
"2018","alpha-beta-pruning","36","2229551"
"2018","alphabetic","6","2229551"
"2018","alphabetical","44","2229551"
"2018","alphabetical-sort","16","2229551"
"2018","alphablending","34","2229551"
"2018","alphanumeric","46","2229551"
"2018","alpha-transparency","45","2229551"
"2018","alphavantage","28","2229551"
"2018","alpine","258","2229551"
"2018","alpn","16","2229551"
"2018","alsa","117","2229551"
"2018","alt","38","2229551"
"2018","alt.js","1","2229551"
"2018","altair","69","2229551"
"2018","altbeacon","106","2229551"
"2018","alter","58","2229551"
"2018","altera","37","2229551"
"2018","alter-column","4","2229551"
